Name|Price|Description|Rarity
Treatise on Magical Artifacts| 5 gp| Analysis of magical items|8
Sorcerer's Secrets| 4 gp| Revelations of a powerful sorcerer|9
Monsters of the Abyss| 2 gp| Catalog of dark creatures|20
The Druid's Circle| 3 gp| Secrets of nature's guardians|8
Guide to Astral Travel| 4 gp| Journeys in the astral plane|14
The Barbarian's Saga| 3 gp| Exploits of barbarian warriors|8
Infernal Codex| 5 gp| Knowledge about infernal realms|4
The Art of Illusion| 4 gp| Creating magical illusions|5
Tombs of the Ancients| 3 gp| Explorations of ancient tombs|6
The Necromancer's Grimoire| 5 gp| Powers of souls and the undead|6
Chronicles of the Feywild| 4 gp| Stories of the fae realms|9
The Gnomish Inventions| 2 gp| Inventions and machines by gnomes|10
Codex of Divine Beings| 5 gp| Knowledge about deities|17
The Rogue's Gallery| 3 gp| Biographies of notorious criminals|5
Secrets of Alchemy| 4 gp| Hidden alchemical discoveries|7
The Celestial Atlas| 5 gp| Stars and celestial planes|12
Witch's Brews| 3 gp| Recipes for mysterious potions|7
Beastiary of the Elemental Planes| 4 gp| Creatures of elemental planes|10
The Fighter's Manual| 2 gp| Tactics for warriors|4
Enchanted Tomes| 3 gp| Magical and enchanted books|13
Legends of the Dwarven Forge| 4 gp| Tales of dwarf blacksmiths|14
The Warlock's Pact| 5 gp| Agreements between warriors and dark entities|13
Wizardry Unveiled| 4 gp| Secrets of magic|5
Tales of the Fey Beasts| 3 gp| Stories of mythical creatures|20
The Book of Runes| 2 gp| Interpretation of runes|20
Bestiary of the Shadow Realm| 5 gp| Creatures of the shadow realm|3
The Art of Divination| 4 gp| Divination practices|20
The Ranger's Journal| 2 sp| Explorations in the wilderness|3
Scrolls of Time| 3 gp| Time travel and prophecies|10
The Rogue's Code| 2 gp| Rules for thieves|5
Mysteries of the Druids| 4 gp| Secrets of earth guardians|20
The Paladin's Quest| 3 gp| Quests of paladins|16
Legends of the Feywild| 4 gp| Tales of fae lands|4
The Alchemist's Handbook| 5 gp| Guide to crafting potions|13
Beastiary of Magical Creatures| 4 gp| Enchanted creature catalog|15
The Art of Enchantment| 3 gp| Techniques for magical enchantments|16
Wizards and Wonders| 4 gp| Notable wizards and magical artifacts|20
The History of Dragons| 2 gp| Research on winged creatures|6
Tomes of Forgotten Spells| 3 gp| Spells forgotten by time|10
Knight's Creed| 4 gp| Beliefs and principles of knights|4
Mysteries of the Deep| 5 sp| Explorations in the deep sea|11
The Rogue's Handbook| 2 gp| Tricks and tactics for rogues|10
Scrolls of Ancient Wisdom| 3 gp| Ancient texts with hidden knowledge|17
The Druid's Wisdom| 4 gp| Wisdom of nature's protectors|18
Guide to Planar Travel| 5 gp| Traveling between planes of existence|6
The Barbarian's Valor| 4 gp| Courageous deeds of barbarian warriors|13
Codex of Arcane Arts| 5 gp| Arcane knowledge and magical arts|3
The Art of Illusion| 3 gp| Mastery of creating illusions|4
Tombs of Forgotten Kings| 4 gp| Explorations of forgotten royal tombs|7
The Necromancer's Secrets| 5 gp| Dark secrets of necromancers|1
Chronicles of the Feywild| 4 gp| Tales of enchanting fae realms|18
The Gnomish Contraptions| 3 gp| Amazing inventions by gnomes|17
Codex of Celestial Beings| 4 gp| Knowledge of celestial beings|14
The Rogue's Gallery| 3 gp| Notorious criminals and their stories|17
Secrets of Alchemical Mastery| 5 gp| Mastery of alchemical secrets|18
The Celestial Atlas| 4 gp| Celestial maps and star lore|8
Witch's Potions| 3 gp| Potions and elixirs of witches|9
Beastiary of the Elemental Realms| 4 gp| Creatures of elemental realms|10
The Fighter's Handbook| 3 gp| Handbook for warriors|6
Enchanted Tomes| 3 gp| Enchanted and mystical books|16
Legends of the Dwarven Kingdoms| 4 gp| Tales of mighty dwarf kingdoms|5
The Warlock's Covenant| 5 gp| Dark covenants of warlocks|16
Wizardry Uncovered| 4 gp| Uncovering hidden secrets of magic|20
Tales of Fey Creatures| 3 gp| Tales of enchanting fey creatures|12
The Book of Glyphs| 2 gp| Understanding mystical glyphs|20
Bestiary of Shadowy Beasts| 5 gp| Shadowy creatures catalog|17
The Art of Divination| 3 gp| The art of divining the future|8
The Ranger's Expedition| 2 sp| Expeditions into the wild|2
Scrolls of Ancient Prophecies| 3 gp| Prophecies from ancient scrolls|7
The Rogue's Handbook| 2 gp| Handbook for skilled rogues|16
Mysteries of the Druidic Order| 4 gp| Secrets of the druidic order|14
The Paladin's Honor| 3 gp| Honorable deeds of paladins|3
Legends of the Feywild| 4 gp| Legends of the mystical Feywild|14
The Alchemist's Compendium| 5 gp| Comprehensive guide to alchemy|16
Beastiary of Enchanted Creatures| 4 gp| Enchanted creatures catalog|9
The Art of Enchantment| 3 gp| Mastering the art of enchantment|3
Wizards and Enigmas| 4 gp| Wizards and their enigmatic practices|6
The History of Mythical Beasts| 2 gp| Mythical beasts throughout history|5
Tomes of Arcane Knowledge| 3 gp| Arcane knowledge hidden in tomes|8
Knight's Honor Code| 4 gp| The code of honor for knights|18
Mysteries of the Underwater Abyss| 5 sp| Exploration of the underwater abyss|6
The Rogue's Manual| 2 gp| A manual for rogue skills and tricks|16
The Druid's Wisdom| 4 gp| Wisdom and insights of druids|6
Guide to Interplanar Travel| 5 gp| Navigating the planes of existence|2
The Barbarian's Valor| 4 gp| Valor and bravery of barbarian warriors|9
Codex of Arcane Arts| 5 gp| Codex containing arcane secrets|14
The Art of Illusion| 3 gp| Mastery of illusion magic|10
Tombs of Ancient Kings| 4 gp| Exploration of ancient royal tombs|11
The Necromancer's Secrets| 5 gp| Dark secrets of necromancy|4
Chronicles of the Feywild| 4 gp| Chronicles of the mystical Feywild|15
The Gnomish Contraptions| 3 gp| Amazing contraptions by gnomes|5
Codex of Celestial Beings| 4 gp| Knowledge about celestial beings|4
The Rogue's Gallery| 3 gp| Gallery of notorious rogues|19
Secrets of Alchemical Mastery| 5 gp| Mastery of alchemical secrets|8
The Celestial Atlas| 4 gp| Celestial maps and lore|5
Witch's Potions| 3 gp| Potions and elixirs brewed by witches|14
Beastiary of the Elemental Realms| 4 gp| Creatures of elemental realms|18
The Fighter's Handbook| 3 gp| Handbook for fighters|13
Enchanted Tomes| 3 gp| Enchanted books and tomes|14
Legends of the Dwarven Kingdoms| 4 gp| Legends of mighty dwarven kingdoms|10
The Warlock's Covenant| 5 gp| Covenants of dark warlocks|13
Wizardry Uncovered| 4 gp| Uncovering the secrets of wizardry|16
Tales of Fey Creatures| 3 gp| Tales of mystical fey creatures|8
The Book of Glyphs| 2 gp| Understanding mystical glyphs|19
Bestiary of Shadowy Beasts| 5 gp| Catalog of shadowy beasts|20
The Art of Divination| 3 gp| The art of divining the future|4
The Ranger's Expedition| 2 sp| Expeditions into the wilderness|6
Scrolls of Ancient Prophecies| 3 gp| Ancient prophecies from scrolls|5
The Rogue's Handbook| 2 gp| Handbook for skilled rogues|15
Mysteries of the Druidic Order| 4 gp| Secrets of the druidic order|17
The Paladin's Honor| 3 gp| Honorable deeds of paladins|20
Legends of the Feywild| 4 gp| Legends of the mystical Feywild|9
The Hapless Adventures of Sir Clumsyfoot | 5 gp | The comical mishaps of a bumbling knight |15
The Goblin's Guide to Chaos Cooking | 3 gp | A goblin's chaotic culinary experiments |19
The Quest for the Legendary Lost Sock | 2 gp | An epic quest to find a missing sock |10
The Sorcerer's Comedic Conundrums | 5 gp | A sorcerer's hilarious magical mishaps |19
Tales from the Giggling Grove | 3 gp | Amusing stories from a forest filled with laughter |5
The Novice's Guide to Magical Mayhem | 2 gp | A novice mage's misadventures in magic |11
The Grimoire of Giggles: A Laughter Spellbook | 5 gp | Spells that make you burst into laughter |3
Legends of Goofy Heroes | 3 gp | Hilarious adventures of goofy heroes |12
The Dancing Dwarves: Tap Dancing Warriors | 3 gp | Dwarves who tap dance their way into battle |3
The Wizard Who Painted Everything Pink | 4 gp | A wizard's misadventures in painting things pink |3
The Rogue's Handbook of Bungled Burglaries | 2 gp | A rogue's guide to hilariously failed heists |9
Legends of the Narcoleptic Barbarian | 5 gp | The adventures of a barbarian with a knack for napping |14
The Gnomish Comedy Revue | 3 gp | Gnomes showcasing their comedic talents |20
The Misadventures of Sir Butterfingers | 3 gp | Sir Butterfingers' clumsy escapades |1
The Rogue's Guide to Accidentally Unlocking Chests | 4 gp | A rogue's guide to accidental treasure unlocking |15
The Bumbling Bard's Ballads of Misfortune | 2 gp | Bardic ballads of comically unfortunate events |8
The Leprechaun's Misplaced Gold: A Comedy of Errors | 5 gp | A leprechaun's gold that keeps disappearing |19
The Gnomish Invention Follies | 3 gp | Hilarious mishaps with gnomish contraptions |17
The Rogue's Treasure Map to Nowhere | 2 gp | A treasure map leading to nowhere in particular |13
Legends of the Clumsy Paladin | 5 gp | The adventures of a paladin with two left feet |10
The Jester's Guide to Royal Pranks | 2 gp | Jesterly pranks in the royal court |4
The Dancing Dwarves: Tap Dancing Diplomacy | 5 gp | Dwarves resolve disputes with tap dancing |18
The Wizard Who Turned Everyone into Chickens | 3 gp | A wizard's fowl magical transformations |8
The Rogue's Treasure Map to the Nearest Tavern | 4 gp | A treasure map that leads to the nearest taverns |11
The Kobold Comedy Club: Laughter Underground | 2 gp | Underground kobold comedy at its finest |18
The Rogue's Guide to Pocketing Your Own Pockets | 3 gp | A rogue's guide to pickpocketing oneself |15
The Barbarian's Bungled Battles | 4 gp | Barbarian battles filled with hilarious mishaps |7
The Gnomish Contraptions: Inventive Laughter | 2 gp | Gnomes and their inventive sources of laughter |12
The Codex of Celestial Pranksters: Divine Humor | 5 gp | Divine pranksters and their celestial humor |8
The Rogue's Gallery: Rogues and Ridiculousness | 3 gp | Portraits and stories of rogues in absurd situations |9
The Alchemist's Formulas: Alchemical Antics | 4 gp | Crafting alchemical antics with unpredictable formulas |4
The Celestial Atlas: Star Maps and Cosmic Chuckles | 2 gp | Star maps and cosmic humor in the universe |20
The Witch's Brews: Potions and Pandemonium | 5 gp | Brewing potions that lead to magical pandemonium |14
The Elemental Bestiary: Elemental Eclat | 3 gp | Descriptions of elemental creatures and their eccentricities |14
The Fighter's Manual: Comical Combat | 4 gp | Comical combat strategies for warriors with a sense of humor |16
The Enchanted Tomes: Chronicles of Chuckles | 2 gp | Chronicles that will have you chuckling |1
The Lore of Dragons: Dragon Debacles | 5 gp | Dragon tales filled with comedic debacles |6
The Runes of Power: Glyphs of Guffaws | 3 gp | Glyphs that bring forth uncontrollable laughter |12
The Paladin's Pranks: Virtuous Vexations | 4 gp | Virtuous pranks by paladins with a mischievous side |17
The Druid's Comedy of Nature | 2 gp | Nature's comedy and the laughter of druids |19
The Guide to Planar Shenanigans: Multiverse Mischief | 5 gp | Multiverse mischief and hilarious shenanigans |17
