Name|Description
mystic-conflux|Source: Tal'Dorei Campaign Setting RebornYou possess an intuitive understanding of the way magic ebbs and flows within enchanted items. Such items attune easily to you, and you are able to sound out their secrets. You gain the following benefits:You can attune to up to four magic items at once.You can cast theIdentifyspell without expending a spell slot or material components. You must finish a long rest before you can do so again.
remarkable-recovery|Source: Tal'Dorei Campaign Setting RebornYour body has the ability to recover quickly from terrible injuries, and is unusually receptive to healing magic. You gain the following benefits:Increase your Constitution score by 1, to a maximum of 20.When you are successfully stabilized while dying, you regain hit points equal to your Constitution modifier (minimum of 1).Whenever you regain hit points as a result of a spell, potion, or class feature (but not this feat), you regain additional hit points equal to your Constitution modifier (minimum of 1).
spelldriver|Source: Tal'Dorei Campaign Setting RebornPrerequisites: Character level 11 or higher; Spellcasting or Pact Magic featureThrough intense focus, training, and dedication, you’ve harnessed the techniques of rapid spellcasting. When you use your bonus action to cast a spell of 1st level or higher, you can also use your action to cast another spell of 1st level or higher. However, if you cast two or more spells in a single turn, only one of them can be 3rd level or higher.
thrown-arms-master|Source: Tal'Dorei Campaign Setting RebornYou’ve honed your ability to lob weaponry into the fray, including weapons not meant for ranged combat. You gain the following benefits:Increase your Strength or Dexterity score by 1, to a maximum of 20.Simple and martial melee weapons without the thrown property have the thrown property for you. One-handed weapons have a normal range of 20 feet and a long range of 60 feet, while two-handed weapons have a normal range of 15 feet and a long range of 30 feet.Weapons that already have the thrown property increase their short range by 20 feet and their long range by 40 feet for you.When you miss with a thrown weapon attack using a light weapon, the weapon returns to your grasp like a boomerang at the end of your turn, unless something prevents it from returning. You can catch and stow as many weapons as you threw in this way.
vital-sacrifice|Source: Tal'Dorei Campaign Setting RebornYou've learned secrets of hemocraft that grant you esoteric power at the price of your own life force. As a bonus action, you can choose to take 1d6 necrotic damage to gain a blood boon. Your blood boon lasts for 1 hour or until expended.You can expend this blood boon to gain one of the following benefits:When you make an attack roll, you roll 1d6 and add it to the total.When you hit with an attack or spell, you deal an additional 2d6 necrotic damage.When you cause a creature to make a Strength, Dexterity, or Constitution saving throw, roll a d4 and reduce their save by the amount rolled.The damage you take to gain a blood boon can’t be reduced in any way.
bountiful-luck|Source: Xanathar's Guide to EverythingPrerequisite: HalflingYour people have extraordinary luck, which you have learned to mystically lend to your companions whenever you see them falter. You're not sure how you do it, you just wish it, and it happens. Surely a sign of fortune's favor!When an ally you can see within 30 feet of you rolls a 1 on the d20 for an attack roll, an ability check, or a saving throw, you can use your reaction to let the ally reroll the die. The ally must use the new roll.When you use this ability, you can't use your Lucky racial trait before the end of your next turn
dragon-fear|Source: Xanathar's Guide to EverythingPrerequisite: DragonbornWhen angered, you radiate menace. You gain the following benefits:Increase your Strength, Constitution, or Charisma score by 1, to a maximum of 20.Instead of exhaling destructive energy, you can expend a use of your Breath Weapon trait to roar, forcing each creature of your choice within 30 feet of you to make a Wisdom saving throw (DC 8 + your proficiency bonus + your Charisma modifier). A target automatically succeeds on the save if it can’t hear or see you. On a failed save, a target becomes frightened for 1 minute. If the frightened target takes any damage, it can repeat the saving throw, ending the effect on itself on a success.
dragon-hide|Source: Xanathar's Guide to EverythingPrerequisite: DragonbornYou manifest scales and claws reminiscent of your draconic ancestors. You gain the following benefits:Increase your Strength, Constitution, or Charisma score by 1, up to a maximum of 20.Your scales harden. While you aren't wearing armor, you can calculate your AC as 13 + your Dexterity modifier. You can use a shield and still gain this benefit.You can grow retractable claws from the tips of your fingers. Extending or retracting the claws requires no action. The claws are natural weapons, which you can use to make unarmed strikes. If you hit with them, you deal slashing damage equal to 1d4 + your Strength modifier, instead of the normal bludgeoning damage for an unarmed strike.
dwarven-resilience|Source: Xanathar's Guide to EverythingPrerequisite: DwarfYou have the blood of dwarf heroes flowing through your veins. You gain the following benefits:Increase your Constitution score by 1, to a maximum of 20.Whenever you take the Dodge action in combat, you can spend one Hit Die to heal yourself. Roll the die, add your Constitution modifier, and regain a number of hit points equal to the total (minimum of 1).
drow-high-magic|Source: Xanathar's Guide to EverythingPrerequisite: Elf (drow)You learn more of the magic typical of dark elves. You learn theDetect Magicspell and can cast it at will, without expending a spell slot. You also learnLevitateandDispel Magic, each of which you can cast once without expending a spell slot. You regain the ability to cast the spell in this way when you finish a long rest. Charisma is your spellcasting ability for these spells.
elven-accuracy|Souce: Xanathar's Guide to EverythingPrerequisite: Elf or Half-ElfThe accuracy of elves is legendary, especially that of elf archers and spellcasters. You have uncanny aim with attacks that rely on precision rather than brute force. You gain the following benefits:Increase your Dexterity, Intelligence, Wisdom, or Charisma score by 1, to a maximum of 20Whenever you have advantage on an attack roll using Dexterity, Intelligence, Wisdom, or Charisma, you can reroll one of the dice once.
fade-away|Souce: Xanathar's Guide to EverythingPrerequisite: GnomeYour people are clever, with a knack for illusion magic. You have learned a magical trick for fading away when you suffer harm. You gain the following benefits:Increase your Dexterity or Intelligence score by 1, to a maximum of 20.Immediately after you take damage, you can use a reaction to magically become invisible until the end of your next turn or until you attack, deal damage, or force someone to make a saving throw. Once you use this ability, you can't do so again until you finish a short or long rest.
fey-teleportation|Souce: Xanathar's Guide to EverythingPrerequisite: Elf (High)Your study of high elven lore has unlocked fey power that few other elves possess, except your eladrin cousins. Drawing on your fey ancestry, you can momentarily stride through the Feywild to shorten your path from one place to another. You gain the following benefits:Increase your Intelligence or Charisma score by 1, to a maximum of 20.You learn to speak, read, and write SylvanYou learn theMisty Stepspell and can cast it once without expending a spell slot. You regain the ability to cast it in this way when you finish a short or long rest. Intelligence is your spellcasting ability for this spell.
flames-of-phlegethos|Source: Xanathar's Guide to EverythingPrerequisite: TieflingYou learn to call on hellfire to serve your commands. You gain the following benefits:Increase your Intelligence or Charisma score by 1, to a maximum of 20.When you roll fire damage for a spell you cast, you can reroll any roll of 1 on the fire damage dice, but you must use the new roll, even if it is another 1.Whenever you cast a spell that deals fire damage, you can cause flames to wreathe you until the end of your next turn. The flames don’t harm you or your possessions, and they shed bright light out to 30 feet and dim light for an additional 30 feet. While the flames are present, any creature within 5 feet of you that hits you with a melee attack takes 1d4 fire damage.
infernal-constitution|Source: Xanathar's Guide to EverythingPrerequisite: TieflingFiendish blood runs strong in you, unlocking a resilience akin to that possessed by some fiends. You gain the following benefits:Increase your Constitution score by 1, up to a maximum of 20.You have resistance to cold damage and poison damage.You have advantage on saving throws against being poisoned.
orcish-fury|Source: Xanathar's Guide to EverythingPrerequisite: Half-orcYour fury burns tirelessly. You gain the following benefits:Increase your Strength or Constitution score by 1, up to a maximum of 20.When you hit with an attack made with a simple or martial weapon, you can roll one of the weapon’s damage dice an additional time and add it as extra damage of the weapon’s damage type. Once you use this ability, you can’t use it again until you finish a short or long rest.Immediately after you use your Relentless Endurance trait, you can use your reaction to make one weapon attack.
prodigy|Source: Xanathar's Guide to EverythingPrerequisite: Half-Elf, Half-Orc or HumanYou have a knack for learning new things. You gain the following benefits:You gain one skill proficiency of your choice, one tool proficiency of your choice, and fluency in one language of your choice.Choose one skill in which you have proficiency. You gain expertise with that skill, which means your proficiency bonus is doubled for any ability check you make with it. The skill you choose must be one that isn't already benefiting from a feature, such as Expertise, that doubles your proficiency bonus
revenant-blade|Source: Eberron - Rising from the Last WarPrerequisite: ElfYou are descended from a master of the double-bladed scimitar, and some of that mastery has passed on to you. You gain the following benefits:Increase your Dexterity or Strength score by 1, to a maximum of 20.While you are holding a double-bladed scimitar with two hands, you gain a +1 bonus to Armor Class.A double-bladed scimitar has the finesse property when you wield it.
second-chance|Source: Xanathar's Guide to EverythingPrerequisite: HalflingFortune favors you when someone tries to strike you. You gain the following benefits:Increase your Dexterity, Constitution, or Charisma score by 1, to a maximum of 20.When a creature you can see hits you with an attack roll, you can use your reaction to force that creature to reroll. Once you use this ability, you can’t use it again until you roll initiative at the start of combat or until you finish a short or long rest.
squat-nimbleness|Source: Xanathar's Guide to EverythingPrerequisite: Dwarf or a Small raceYou are uncommonly nimble for your race. You gain the following benefits:Increase your Strength or Dexterity score by 1, to a maximum of 20.Increase your walking speed by 5 feet.You gain proficiency in the Acrobatics or Athletics skill (your choice).You have advantage on any Strength (Athletics) or Dexterity (Acrobatics) check you make to escape from being grappled.
svirfneblin-magic|Source: Mordenkainen's Tome of FoesPrerequisite: Gnome (Deep Gnome)You have inherited the innate spellcasting ability of your ancestors. This ability allows you to castNondetectionon yourself at will, without needing a material component.You can also cast each of the following spells once with this ability:Blindness/Deafness,Blur, andDisguise Self. You regain the ability to cast these spells when you finish a long rest. Intelligence is your spellcasting ability for these spells
wood-elf-magic|Source: Xanathar's Guide to EverythingPrerequisite: Elf (Wood)You learn the magic of the primeval woods, which are revered and protected by your people. You learn one Druid cantrip of your choice. You also learn theLongstriderandPass Without Tracespells, each of which you can cast once without expending a spell slot. You regain the ability to cast these two spells in this way when you finish a long rest. Wisdom is your spellcasting ability for all three spells.
barbed-hide|Source: Unearthed Arcana 39 - Feats for RacesPrerequisite: TieflingOne of your ancestors was a barbed devil or other spiky fiend. Barbs protrude from your head. You gain the following benefits:Increase your Constitution or Charisma score by 1, up to a maximum of 20.You gain proficiency in the Intimidation skill. If you’re already proficient in it, your proficiency bonus is doubled for any check you make with it.As a bonus action, you can cause small barbs to protrude all over your body or cause them to retract. At the start of each of your turns while the barbs are out, you deal 1d6 piercing damage to any creature grappling you or any creature grappled by you.
critter-friend|Source: Unearthed Arcana 39 - Feats for RacesPrerequisite: Gnome (forest)Your friendship with animals mystically deepens. You gain the following benefits:You gain proficiency in the Animal Handling skill. If you’re already proficient in it, your proficiency bonus is doubled for any check you make with it.You learn the Speak with Animals spell and can cast it at will, without expending a spell slot. You also learn the Animal Friendship spell, and you can cast it once with this feat, without expending a spell slot. You regain the ability to cast it in this way when you finish a long rest. Wisdom is your spellcasting ability for these spells.
dragon-wings|Source: Unearthed Arcana 39 - Feats for RacesPrerequisite: DragonbornYou sprout draconic wings. With your wings, you have a flying speed of 20 feet if you aren’t wearing heavy armor and aren't exceeding your carrying capacity.
everybodys-friend|Source: Unearthed Arcana 39 - Feats for RacesPrerequisite: Half-elfYou develop your magnetic personality to ease your way through the world. You gain the following benefits:Increase your Charisma score by 1, up to a maximum of 20.You gain proficiency in Deception and Persuasion skills. If you're already proficient in either skill, your proficiency bonus is doubled for any check you make with that skill.
grudge-bearer|Source: Unearthed Arcana 39 - Feats for RacesPrerequisite: DwarfYou have a deep hatred for a particular kind of creature. Choose your foes, a type of creature to bear the burden of your wrath: aberrations, beasts, celestials, constructs, dragons, elementals, fey, fiends, giants, monstrosities, oozes, plants, or undead. Alternatively, you can choose two races of humanoid (such as gnolls and orcs). You gain the following benefits:Increase your Strength, Constitution, or Wisdom score by 1, to a maximum of 20.During the first round of any combat against your chosen foes, your attack rolls against any of them have advantage.When any of your chosen foes makes an opportunity attack against you, it makes the attack roll with disadvantage.Whenever you make an Intelligence (Arcana, History, Nature, or Religion) check to recall information about your chosen foes, you add double your proficiency bonus to the check, even if you’re not normally proficient.
human-determination|Source: Unearthed Arcana 39 - Feats for RacesPrerequisite: HumanYou are filled with a determination that can draw the unreachable within your reach. You gain the following benefits:Increase one ability score of your choice by 1, to a maximum of 20.When you make an attack roll, an ability check, or a saving throw, you can do so with advantage. Once you use this ability, you can’t use it again until you finish a short or long rest.
orcish-aggression|Source: Unearthed Arcana 39 - Feats for RacesPrerequisite: Half-orcAs a bonus action, you can move up to your speed toward an enemy of your choice that you can see or hear. You must end this move closer to the enemy than you started.
wonder-maker|Source: Unearthed Arcana 39 - Feats for RacesPrerequisite: Gnome (rock)You master the tinker techniques of your people. You gain the following benefits:Increase your Dexterity or Intelligence score by 1, to a maximum of 20.When you make a check using your proficiency with tinker’s tools, you add double your proficiency bonus to the check.When you make a device with your Tinker trait, you have the following additional options for what you make:Alarm: This device senses when a creature moves to within 15 feet of it without speaking aloud a password chosen when you create it. One round after a creature moves into range, the alarm makes a shrill ringing that lasts for 1 minute and can be heard from up to 300 feet away.Calculator: This device makes doing sums easy.Lifter: This device can be used as a block and tackle, allowing its user to hoist five times the weight the user can normally lift.Timekeeper: This pocket watch keeps accurate time.Weather Sensor: When used as an action, this device predicts weather conditions in a 1-mile radius over the next 4 hours, showing one symbol (clouds, sun/moon, rain, or snow) for each hour
vampiric-exultation|Source: Plane Shift - IxalanPrerequisite: Vampire (Ixalan)As an action, you can transform the lower half of your body into an inky black vapor, allowing you to float through the air. While transformed, you have a flying speed of 30 feet. You can maintain this form for up to 10 minutes. Once you use this ability, you can't use it again until you finish a short or long rest.
aberrant-dragonmark|Source: Eberron - Rising from the Last WarPrerequisite: No other dragonmarkYou have manifested an aberrant dragonmark. Determine its appearance and the flaw associated with it. You gain the following benefits:Increase your Constitution score by 1, to a maximum of 20.You learn a cantrip of your choice from thesorcerer spell list. In addition, choose a 1st-level spell from thesorcerer spell list. You learn that spell and can cast it through your mark. Once you cast it, you must finish a short or long rest before you can cast it again through the mark. Constitution is your spellcasting ability for these spells.When you cast the 1st-level spell through your mark, you can expend one of your Hit Dice and roll it. If you roll an even number, you gain a number of temporary hit points equal to the number rolled. If you roll an odd number, one random creature within 30 feet of you (not including you) takes force damage equal to the number rolled. If no other creatures are in range, you take the damage.You also develop a random flaw from the Aberrant Dragonmark Flaws table.Aberrant Dragonmark Flawsd8Flaw1Your mark is a source of constant physical pain.2Your mark whispers to you. Its meaning can be unclear.3When you're stressed, the mark hisses audibly.4The skin around the mark is burned, scaly, or withered.5Animals are uneasy around you.6You have a mood swing any time you use your mark.7Your looks change slightly whenever you use the mark.8You have horrific nightmares after you use your mark.Option: Greater Aberrant PowersAt the DM's option, a character who has theAberrant Dragonmarkfeat has a chance of manifesting greater power. Upon reaching 10th level, such a character has a 10 percent chance of gaining an epic boon from among the options in chapter 7 of theDungeon Master's Guide. If the character fails to gain a boon, they have a 10 percent chance the next time they gain a level.If the character gains a boon, the DM chooses it or determines it randomly. The character also permanently loses one of their Hit Dice, and their hit point maximum is reduced by an amount equal to a roll of that die plus their Constitution modifier (minimum reduction of 1). This reduction can't be reversed by any means.
actor|Source: Player's HandbookSkilled at mimicry and dramatics, you gain the following benefits:Increase your Charisma score by 1, to a maximum of 20.You have an advantage on Charisma (Deception) and Charisma (Performance) checks when trying to pass yourself off as a different person.You can mimic the speech of another person or the sounds made by other creatures. You must have heard the person speaking, or heard the creature make the sound, for at least 1 minute. A successful Wisdom (Insight) check contested by your Charisma (Deception) check allows a listener to determine that the effect is faked.
adept-of-the-black-robes|Source: Dragonlance: Shadow of the Dragon QueenPrerequisite: 4th Level,Initiate of High Sorcery(Nuitari) FeatYou chose the moon Nuitari to influence your magic, and your ambition and loyalty to the Order of the Black Robes has been recognized, granting you these benefits:Ambitious Magic.You learn one 2nd-level spell of your choice. The 2nd-level spell must be from theEnchantmentorNecromancyschool of magic. You can cast this feat’s 2nd-level spell without a spell slot, and you must finish a long rest before you can cast it in this way again. You can also cast this spell using spell slots you have of the appropriate level. The spell’s spellcasting ability is the one chosen when you gained theInitiate of High Sorceryfeat.Life Channel.You can channel your life force into the power of your magic. When a creature you can see within 60 feet of you fails a saving throw against a spell that deals damage that you cast, you can expend a number of Hit Dice equal to the level of the spell. Roll the expended Hit Dice and add them together. The damage that the creature takes increases by an amount equal to that total.
adept-of-the-red-robes|Source: Dragonlance: Shadow of the Dragon QueenPrerequisite: 4th Level,Initiate of High Sorcery(Lunitari) FeatYou chose the moon Lunitari to influence your magic, and your dedication to maintaining the balance between all things has been recognized by the Order of the Red Robes, granting you these benefits:Insightful Magic.You learn one 2nd-level spell of your choice. The 2nd-level spell must be from theIllusionorTransmutationschool of magic. You can cast this feat’s 2nd-level spell without a spell slot, and you must finish a long rest before you can cast it in this way again. You can also cast this spell using spell slots you have of the appropriate level. The spell’s spellcasting ability is the one chosen when you gained theInitiate of High Sorceryfeat.Magical Balance.When you make an attack roll or an ability check and roll a 9 or lower on the d20, you can balance fate and treat the roll as a 10. You can balance fate in this way a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.
adept-of-the-white-robes|Source: Dragonlance: Shadow of the Dragon QueenPrerequisite: 4th Level,Initiate of High SorceryFeatYou chose the moon Solinari to influence your magic, and your oath to use magic to make the world a better place has been recognized by the Order of the White Robes, granting you these benefits:Protective Magic.You learn one 2nd-level spell of your choice. The 2nd-level spell must be from theAbjurationorDivinationschool of magic. You can cast this feat’s 2nd-level spell without a spell slot, and you must finish a long rest before you can cast it in this way again. You can also cast this spell using spell slots you have of the appropriate level. The spell’s spellcasting ability is the one chosen when you gained theInitiate of High Sorceryfeat.Protective Ward.When you or a creature you can see within 30 feet of you takes damage, you can use your reaction to expend a spell slot and weave protective magic around the target. Roll a number of d6s equal to the level of the spell slot expended and reduce the damage the target takes by the total rolled on those dice + your spellcasting ability modifier.
alert|Source: Player's HandbookAlways on the lookout for danger, you gain the following benefits:You can't be surprised while you are conscious.You gain a +5 bonus to initiative.Other creatures don't gain advantage on attack rolls against you as a result of being unseen by you.
artificer-initiate|Source: Tasha's Cauldron of EverythingYou’ve learned some of an artificer’s inventiveness:You learn one cantrip of your choice from theArtificerspell list, and you learn one 1st-level spell of your choice from that list. Intelligence is your spellcasting ability for these spells.You can cast this feat's 1st-level spell without a spell slot, and you must finish a long rest before you can cast it in this way again. You can also cast the spell using any spell slots you have.You gain proficiency with one type of artisan's tools of your choice, and you can use that type of tool as a spellcasting focus for any spell you cast that uses Intelligence as its spellcasting ability.
athlete|Source: Player's HandbookYou have undergone extensive physical training to gain the following benefits:Increase your Strength or Dexterity score by 1, to a maximum of 20.When you are prone, standing up uses only 5 feet of your movement.Climbing doesn't cost you extra movement.You can make a running long jump or a running high jump after moving only 5 feet on foot, rather than 10 feet.
charger|Source: Player's HandbookWhen you use your action to Dash, you can use a bonus action to make one melee weapon attack or to shove a creature. If you move at least 10 feet in a straight line immediately before taking this bonus action, you either gain a +5 bonus to the attack’s damage roll (if you chose to make a melee attack and hit) or push the target up to 10 feet away from you (if you chose to shove and you succeed).
chef|Source: Tasha's Cauldron of EverythingTime and effort spent mastering the culinary arts has paid off. You gain the following benefits:Increase your Constitution or Wisdom score by 1, to a maximum of 20.You gain proficiency with cook’s utensils if you don’t already have it.As part of a short rest, you can cook special food, provided you have ingredients and cook's utensils on hand. You can prepare enough of this food for a number of creatures equal to 4 + your proficiency bonus. At the end of the short rest, any creature who eats the food and spends one or more Hit Dice to regain hit points regains an extra 1d8 hit points.With one hour of work or when you finish a long rest, you can cook a number of treats equal to your proficiency bonus. These special treats last 8 hours after being made. A creature can use a bonus action to eat one of those treats to gain temporary hit points equal to your proficiency bonus.
crossbow-expert|Source: Player's HandbookThanks to extensive practice with the crossbow, you gain the following benefits:You ignore the loading quality of crossbows with which you are proficient.Being within 5 feet of a hostile creature doesn’t impose disadvantage on your ranged attack rolls.When you use the Attack action and attack with a one handed weapon, you can use a bonus action to attack with a hand crossbow you are holding.
crusher|Source: Tasha's Cauldron of EverythingYou are practiced in the art of crushing your enemies, granting you the following benefits:Increase your Strength or Constitution by 1, to a maximum of 20.Once per turn, when you hit a creature with an attack that deals bludgeoning damage, you can move it 5 feet to an unoccupied space, provided the target is no more than one size larger than you.When you score a critical hit that deals bludgeoning damage to a creature, attack rolls against that creature are made with advantage until the start of your next turn.
defensive-duelist|Source: Player's HandbookPrerequisite: Dexterity 13 or higherWhen you are wielding a finesse weapon with which you are proficient and another creature hits you with a melee attack, you can use your reaction to add your proficiency bonus to your AC for that attack, potentially causing the attack to miss you.
divinely-favored|Source: Dragonlance: Shadow of the Dragon QueenPrerequisite: 4th Level, Dragonlance CampaignA god chose you to carry a spark of their power.You learn one cantrip of your choice from theCleric spell listand one 1st-level spell based on the alignment of your character, as specified in the Alignment Spells table below. You also learn theAuguryspell.Alignment SpellsAlignment1st-level SpellsEvilChoose one 1st-levelWarlockspellGoodChoose one 1st-levelClericspell.NeutralChoose one 1st-levelDruidspellYou can cast the chosen 1st-level spell and theAuguryspell without a spell slot, and you must finish a long rest before you can cast either of these spells in this way again. You can also cast these spells using spell slots you have of the appropriate level.Your spellcasting ability for this feat’s spells is Intelligence, Wisdom, or Charisma (choose when you select this feat).In addition, you can use a holy symbol as a spellcasting focus for any spell you cast that uses the spellcasting ability you choose when you select this feat.
dual-wielder|Source: Player's HandbookYou master fighting with two weapons, gaining the following benefits:You gain a +1 bonus to AC while you are wielding a separate melee weapon in each hand.You can use two-weapon fighting even when the one handed melee weapons you are wielding aren't light.You can draw or stow two one-handed weapons when you would normally be able to draw or stow only one.
dungeon-delver|Source: Player's HandbookAlert to the hidden traps and secret doors found in many dungeons, you gain the following benefits:You have advantage on Wisdom (Perception) and Intelligence (Investigation) checks made to detect the presence of secret doors.You have advantage on saving throws made to avoid or resist traps.You have resistance to the damage dealt by traps.Travelling at a fast pace doesn't impose the normal -5 penalty on your passive Wisdom (Perception) score.
durable|Source: Player's HandbookHardy and resilient, you gain the following benefits:Increase your Constitution score by 1, to a maximum of 20.When you roll a Hit Die to regain hit points, the minimum number of hit points you regain from the roll equals twice your Constitution modifier (minimum of 2).
eldritch-adept|Source: Tasha's Cauldron of EverythingPrerequisite: Spellcasting or Pact Magic featureStudying occult lore, you learn one Eldritch Invocation option of your choice from the warlock class. Your spellcasting ability for the invocation is Intelligence, Wisdom, or Charisma (choose when you select this feat). If the invocation has a prerequisite of any kind, you can choose that invocation only if you’re a warlock who meets the prerequisite.Whenever you gain a level, you can replace the invocation with another one from the warlock class.
elemental-adept|Source: Player's HandbookPrerequisite: The ability to cast at least one spellWhen you gain this feat, choose one of the following damage types: acid, cold, fire, lightning, or thunder.Spells you cast ignore resistance to damage of the chosen type. In addition, when you roll damage for a spell you cast that deals damage of that type, you can treat any 1 on a damage die as a 2.You can select this feat multiple times. Each time you do so, you must choose a different damage type.
fey-touched|Source: Tasha's Cauldron of EverythingYour exposure to the Feywild's magic has changed you, granting you the following benefits:Increase your Intelligence, Wisdom, or Charisma score by 1, to a maximum of 20.You learn theMisty Stepspell and one 1st-level spell of your choice. The 1st-level spell must be from theDivinationorEnchantmentschool of magic. You can cast each of these spells without expending a spell slot. Once you cast either of these spells in this way, you can't cast that spell in this way again until you finish a long rest. You can also cast these spells using spell slots you have of the appropriate level. The spells' spellcasting ability is the ability increased by this feat.
fighting-initiate|Source: Tasha's Cauldron of EverythingPrerequisite: Proficiency with a martial weaponYour martial training has helped you develop a particular style of fighting. As a result, you learn one Fighting Style option of your choice from thefighterclass. If you already have a style, the one you choose must be different.Whenever you reach a level that grants the Ability Score Improvement feature, you can replace this feat's fighting style with another one from the fighter class that you don't have.
gift-of-the-chromatic-dragon|Source: Fizban's Treasury of DragonsYou’ve manifested some of the power of chromatic dragons, granting you the following benefits:Chromatic Infusion.As a bonus action, you can touch a simple or martial weapon and infuse it with one of the following damage types: acid, cold, fire, lightning, or poison. For the next minute, the weapon deals an extra 1d4 damage of the chosen type when it hits. After you use this bonus action, you can’t do so again until you finish a long rest.Reactive Resistance.When you take acid, cold, fire, lightning, or poison damage, you can use your reaction to give yourself resistance to that instance of damage. You can use this reaction a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.
gift-of-the-gem-dragon|Source: Fizban's Treasury of DragonsYou’ve manifested some of the power of gem dragons, granting you the following benefits:Ability Score Increase.Increase your Intelligence, Wisdom, or Charisma score by 1, to a maximum of 20.Telekinetic Reprisal.When you take damage from a creature that is within 10 feet of you, you can use your reaction to emanate telekinetic energy. The creature that dealt damage to you must make a Strength saving throw (DC equals 8 + your proficiency bonus + the ability modifier of the score increased by this feat). On a failed save, the creature takes 2d8 force damage and is pushed up to 10 feet away from you. On a successful save, the creature takes half as much damage and isn’t pushed. You can use this reaction a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.
gift-of-the-metallic-dragon|Source: Fizban's Treasury of DragonsYou’ve manifested some of the power of metallic dragons, granting you the following benefits:Draconic Healing.You learn theCure Woundsspell. You can cast this spell without expending a spell slot. Once you cast this spell in this way, you can’t do so again until you finish a long rest. You can also cast this spell using spell slots you have. The spell’s spellcasting ability is Intelligence, Wisdom, or Charisma when you cast it with this feat (choose when you gain the feat).Protective Wings.You can manifest protective wings that can shield you or others. When you or another creature you can see within 5 feet of you is hit by an attack roll, you can use your reaction to manifest spectral wings from your back for a moment. You grant a bonus to the target’s AC equal to your proficiency bonus against that attack roll, potentially causing it to miss. You can use this reaction a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.
grappler|Source: Player's HandbookPrerequisite: Strength 13 or higherYou've developed the skills necessary to hold your own in close-quarters grappling. You gain the following benefits:You have advantage on attack rolls against a creature you are grappling.You can use your action to try to pin a creature grappled by you. To do so, make another grapple check. If you succeed, you and the creature are both restrained until the grapple ends.
great-weapon-master|Source: Player's HandbookYou've learned to put the weight of a weapon to your advantage, letting its momentum empower your strikes. You gain the following benefits:On your turn, when you score a critical hit with a melee weapon or reduce a creature to 0 hit points with one, you can make one melee weapon attack as a bonus action.Before you make a melee attack with a heavy weapon that you are proficient with, you can choose to take a -5 penalty to the attack roll. If the attack hits, you add +10 to the attack's damage.
gunner|Source: Tasha's Cauldron of EverythingYou have a quick hand and keen eye when employing firearms, granting you the following benefits:Increase your Dexterity score by 1, to a maximum of 20.You gain proficiency with firearms (see “Firearms” in theDungeon Master’s Guide).You ignore the loading property of firearms.Being within 5 feet of a hostile creature doesn't impose disadvantage on your ranged attack rolls.
healer|Source: Player's HandbookYou are an able physician, allowing you to mend wounds quickly and get your allies back in the fight. You gain the following benefits:When you use a healer's kit to stabilize a dying creature, that creature also regains 1 hit point.As an action. you can spend one use of a healer's kit to tend to a creature and restore 1d6 + 4 hit points to it, plus additional hit points equal to the creature's maximum number of Hit Dice. The creature can't regain hit points from this feat again until it finishes a short or long rest.
heavily-armored|Source: Player's HandbookPrerequisite: Proficiency with medium armorYou have trained to master the use of heavy armor, gaining the following benefits:Increase your Strength score by 1, to a maximum of 20.You gain proficiency with heavy armor.
heavy-armor-master|Source: Player's HandbookPrerequisite: Proficiency with heavy armorYou can use your armor to deflect strikes that would kill others. You gain the following benefits:Increase your Strength score by 1, to a maximum of 20.While you are wearing heavy armor, bludgeoning, piercing, and slashing damage that you take from nonmagical attacks is reduced by 3.
initiate-of-high-sorcery|Source: Dragonlance: Shadow of the Dragon QueenPrerequisite: Dragonlance Campaign, Sorcerer or Wizard Class or Mage of High Sorcery BackgroundYou've received training from magic-users affiliated with the Mages of High Sorcery.Choose one of the three moons of Krynn to influence your magic: the black moon, Nuitari; the red moon, Lunitari; or the white moon Solinari. You learn one cantrip of your choice from theWizard spell listand two 1st-level spells based on the moon you choose, as specified in the Lunar Spells table.Lunar SpellsMoon1st-Level SpellNuitariChoose two fromDissonant Whispers,False Life,Hex, andRay of SicknessLunitariChoose two fromColor Spray,Disguise Self,Feather Fall, andLongstriderSolinariChoose two fromComprehend Languages,Detect Evil and Good,Protection from Evil and Good, andShieldYou can cast each of the chosen 1st-level spells without a spell slot, and you must finish a long rest before you can cast it in this way again. You can also cast the spells using any spell slots you have.Your spellcasting ability for this feat’s spells is Intelligence, Wisdom, or Charisma (choose when you select this feat).
inspiring-leader|Source: Player's HandbookPrerequisite: Charisma 13 or higherYou can spend 10 minutes inspiring your companions, shoring up their resolve to fight. When you do so, choose up to six friendly creatures (which can include yourself) within 30 feet of you who can see or hear you and who can understand you. Each creature can gain temporary hit points equal to your level + your Charisma modifier. A creature can't gain temporary hit points from this feat again until it has finished a short or long rest.
keen-mind|Source: Player's HandbookYou have a mind that can track time, direction, and detail with uncanny precision. You gain the following benefits.Increase your Intelligence score by 1, to a maximum of 20.You always know which way is north.You always know the number of hours left before the next sunrise or sunset.You can accurately recall anything you have seen or heard within the past month.
